Product Type,Temperature (°C),Humidity (%),Shock Level (g),Risk Level
Milk,7.8,88.4,4.68,1
Fruits,4.8,78.4,3.6,1
Milk,8.3,79.8,2.0,1
Fruits,9.1,72.2,1.42,1
Vegetables,11.7,82.6,2.95,1
Fruits,10.1,83.6,2.81,1
Milk,4.7,84.4,1.75,0
Eggs,7.9,51.3,2.4,1
Fruits,10.4,78.8,3.15,1
Fruits,9.7,72.2,1.28,1
Meat,5.0,90.3,0.76,1
Meat,5.2,82.8,4.28,1
Fruits,7.8,72.8,2.04,0
Eggs,5.8,53.0,3.09,1
Eggs,9.5,64.4,0.42,1
Meat,6.4,78.2,1.89,1
Eggs,3.9,53.6,4.44,1
Fruits,12.8,89.3,4.81,1
Fruits,10.9,84.2,4.32,1
Eggs,6.1,63.4,4.65,1
Vegetables,11.5,84.1,1.31,1
Fruits,9.3,74.5,2.42,1
Meat,5.0,81.7,0.06,0
Eggs,2.4,68.8,2.27,0
Vegetables,6.3,84.2,3.14,1
Fruits,7.7,75.5,0.54,0
Eggs,4.4,55.2,2.18,0
Vegetables,2.4,93.5,1.26,1
Vegetables,2.8,88.0,4.4,1
Vegetables,5.1,91.4,2.45,1
Eggs,4.1,62.8,0.38,0
Eggs,9.1,59.9,4.28,1
Fruits,4.2,71.4,1.2,0
Eggs,7.6,55.6,3.65,1
Meat,0.1,82.1,0.08,0
Vegetables,2.9,80.4,0.51,0
Milk,5.9,69.9,4.16,1
Milk,8.3,76.7,1.31,1
Vegetables,8.5,91.6,2.34,1
Eggs,3.0,59.1,1.92,0
Fruits,7.9,88.0,4.1,1
Fruits,11.3,84.3,1.14,1
Milk,9.6,65.5,0.26,1
Fruits,14.3,84.7,2.8,1
Meat,1.1,86.8,4.09,1
Vegetables,6.6,91.7,3.33,1
Fruits,7.7,74.8,1.57,0
Vegetables,2.1,90.5,4.07,1
Meat,4.4,85.4,3.52,1
Milk,2.6,83.8,4.95,1
Milk,4.2,73.7,1.71,0
Fruits,13.2,76.9,4.65,1
Vegetables,7.5,93.8,0.73,1
Milk,8.6,72.4,2.4,1
Vegetables,10.4,93.5,0.66,1
Fruits,7.0,80.3,3.7,1
Fruits,14.7,89.9,0.01,1
Vegetables,5.1,83.6,1.15,0
Eggs,9.2,67.6,2.52,1
Milk,4.6,86.0,1.03,1
Milk,7.4,62.5,0.25,1
Vegetables,4.0,90.6,0.05,1
Fruits,7.6,88.7,3.95,1
Meat,5.1,79.8,1.74,0
Eggs,7.3,56.1,0.68,1
Eggs,6.2,66.1,1.99,0
Vegetables,10.4,82.4,2.24,1
Fruits,13.8,89.8,0.78,1
Fruits,5.4,72.0,3.37,1
Eggs,3.4,64.5,4.17,1
Milk,6.4,89.3,0.08,1
Milk,9.2,86.8,3.33,1
Meat,1.7,89.0,2.62,1
Milk,3.4,70.5,3.97,1
Fruits,11.8,70.8,0.43,1
Eggs,3.9,54.3,0.5,0
Vegetables,9.0,89.0,4.1,1
Fruits,7.4,75.7,1.85,0
Milk,9.8,61.3,3.6,1
Fruits,10.3,76.1,4.4,1
Fruits,12.0,79.4,4.58,1
Eggs,5.5,63.9,4.83,1
Meat,3.7,90.5,2.74,1
Vegetables,10.9,84.6,1.3,1
Eggs,9.1,52.1,2.27,1
Fruits,13.8,77.3,2.31,1
Milk,10.0,87.0,2.81,1
Eggs,10.0,55.8,1.29,1
Milk,6.3,83.0,0.64,0
Milk,3.1,65.9,4.97,1
Fruits,10.0,85.7,0.26,1
Meat,1.9,88.3,1.5,1
Eggs,3.7,68.2,3.42,1
Eggs,6.2,64.3,1.81,0
Meat,5.7,75.9,4.86,1
Vegetables,7.2,93.6,0.48,1
Eggs,4.8,61.9,2.25,0
Meat,4.9,74.5,4.64,1
Milk,3.4,62.1,1.66,0
Milk,2.9,74.4,4.66,1
Fruits,12.8,72.5,1.01,1
Eggs,6.9,59.8,2.55,1
Fruits,6.3,74.9,4.36,1
Fruits,6.9,73.5,4.37,1
Milk,2.1,81.1,2.49,0
Vegetables,4.4,88.9,3.11,1
Vegetables,2.1,95.1,4.84,1
Fruits,8.2,71.4,3.0,1
Milk,5.1,80.5,0.28,0
Eggs,6.0,52.0,1.51,0
Milk,7.0,69.6,4.87,1
Milk,4.5,73.2,0.93,0
Vegetables,7.0,86.2,3.44,1
Milk,2.8,89.7,2.78,1
Eggs,7.5,62.1,1.38,1
Meat,3.9,80.6,3.21,1
Vegetables,2.8,80.6,0.03,0
Meat,6.1,85.2,3.11,1
Eggs,4.3,68.9,3.22,1
Meat,5.1,74.0,4.41,1
Milk,9.2,72.8,1.38,1
Meat,2.4,88.6,2.5,1
Fruits,13.3,73.4,2.76,1
Eggs,5.2,61.6,3.87,1
Milk,9.1,73.2,4.18,1
Eggs,8.1,51.3,2.25,1
Fruits,11.3,79.6,4.02,1
Fruits,11.6,88.3,4.01,1
Eggs,3.0,55.9,4.73,1
Milk,2.9,85.8,1.73,1
Meat,6.8,93.1,0.19,1
Fruits,5.5,87.2,2.59,1
Fruits,12.5,88.2,1.81,1
Milk,8.3,60.1,4.55,1
Vegetables,11.9,84.0,1.63,1
Meat,6.4,94.5,0.31,1
Milk,6.4,84.9,2.43,0
Milk,6.9,82.4,1.87,0
Milk,5.3,90.0,0.93,1
Eggs,8.5,57.3,4.3,1
Eggs,4.3,60.6,1.31,0
Meat,3.8,75.1,0.2,0
Eggs,9.5,68.5,3.45,1
Vegetables,6.8,91.9,0.3,1
Meat,3.7,86.2,4.3,1
Milk,9.0,86.5,1.45,1
Meat,3.5,80.0,4.29,1
Fruits,4.6,84.1,1.67,0
Fruits,5.5,86.6,4.42,1
Eggs,3.2,55.6,0.12,0
Meat,3.1,76.1,0.02,0
Meat,6.6,75.8,1.66,1
Milk,4.4,83.6,1.22,0
Eggs,2.8,69.0,1.44,0
Fruits,6.7,82.4,3.14,1
Vegetables,6.8,88.3,3.21,1
Eggs,9.0,55.3,0.87,1
Eggs,5.8,50.4,4.4,1
Vegetables,5.6,82.6,4.32,1
Fruits,4.6,71.6,0.03,0
Fruits,4.6,80.5,4.93,1
Vegetables,7.4,84.4,4.64,1
Milk,7.0,68.8,2.86,1
Vegetables,8.7,81.4,0.23,1
Milk,9.9,71.6,2.36,1
Fruits,12.1,78.5,2.53,1
Meat,0.8,79.8,0.36,0
Milk,5.4,67.7,3.49,1
Fruits,10.8,71.8,2.49,1
Vegetables,2.2,82.8,3.57,1
Milk,2.2,64.8,1.38,0
Milk,8.1,65.7,3.86,1
Vegetables,9.7,93.2,2.27,1
Eggs,5.1,68.0,1.1,0
