Product Type,Temperature (°C),Humidity (%),Shock Level (g),Risk Level
Fruits,12.1,89.0,1.04,1
Fruits,4.4,87.5,4.7,1
Eggs,3.6,51.6,3.33,1
Vegetables,8.2,86.5,4.48,1
Fruits,5.9,79.1,3.71,1
Fruits,4.4,85.9,0.47,1
Vegetables,3.7,93.2,4.69,1
Eggs,5.8,57.2,4.14,1
Meat,2.3,91.7,2.91,1
Meat,7.2,74.5,3.33,1
Milk,4.6,76.0,0.93,0
Milk,2.4,85.0,1.14,0
Vegetables,4.5,86.1,2.27,1
Milk,8.0,65.0,4.75,1
Vegetables,8.4,95.8,1.96,1
Eggs,2.9,63.1,2.93,1
Meat,6.8,74.7,0.89,1
Meat,3.0,75.8,3.77,1
Milk,2.1,78.2,1.08,0
Meat,2.2,87.6,4.06,1
Meat,4.3,80.0,3.81,1
Eggs,2.7,57.9,4.34,1
Meat,7.0,87.3,4.12,1
Meat,7.1,91.8,0.78,1
Fruits,14.7,81.0,3.54,1
Vegetables,10.8,89.3,4.87,1
Meat,7.2,71.9,1.17,1
Fruits,10.8,79.1,1.12,1
Vegetables,9.5,94.7,3.66,1
Milk,9.6,80.4,0.25,1
Meat,2.9,74.7,2.28,0
Vegetables,10.7,82.2,1.5,1
Vegetables,6.9,84.6,4.56,1
Fruits,13.1,84.7,1.91,1
Milk,7.1,72.1,0.15,1
Meat,3.4,77.3,1.61,0
Milk,6.2,77.1,3.23,1
Vegetables,11.3,87.8,4.57,1
Meat,6.0,76.8,0.07,0
Fruits,14.6,77.0,3.5,1
Vegetables,7.0,82.0,2.67,1
Vegetables,4.3,89.9,1.23,1
Vegetables,7.9,93.7,1.2,1
Meat,6.0,79.6,2.29,0
Vegetables,3.2,94.6,2.71,1
Meat,7.5,91.4,1.68,1
Eggs,5.9,58.3,2.62,1
Milk,5.0,60.3,3.04,1
Milk,9.9,69.9,3.45,1
Meat,1.2,88.8,3.42,1
Fruits,12.2,89.3,0.17,1
Meat,6.6,75.7,0.51,1
Eggs,4.3,69.8,1.43,0
Fruits,13.0,75.1,3.86,1
Fruits,8.3,73.5,0.42,0
Eggs,7.5,68.3,2.65,1
Vegetables,11.6,93.7,4.05,1
Milk,7.1,61.2,1.9,1
Fruits,15.0,75.8,4.95,1
Eggs,3.6,51.7,4.28,1
Milk,8.4,89.9,0.23,1
Fruits,13.5,83.4,3.89,1
Vegetables,9.2,80.5,4.54,1
Vegetables,7.7,87.7,0.38,1
Fruits,14.3,88.5,1.3,1
Fruits,12.4,77.7,3.2,1
Vegetables,3.0,89.8,4.95,1
Meat,4.8,92.0,1.59,1
Vegetables,10.9,86.3,4.82,1
Meat,3.8,78.2,4.72,1
Eggs,3.9,63.5,4.66,1
Meat,4.0,93.2,3.11,1
Eggs,9.5,65.9,1.97,1
Eggs,9.2,53.9,2.04,1
Meat,4.8,72.0,1.74,0
Vegetables,9.9,85.3,0.84,1
Milk,9.2,68.0,4.09,1
Eggs,3.4,61.0,2.52,1
Eggs,8.9,69.1,1.75,1
Meat,3.9,75.2,1.93,0
Vegetables,11.2,91.9,3.81,1
Vegetables,9.9,81.7,1.99,1
Meat,3.1,86.6,4.89,1
Vegetables,4.7,87.7,4.52,1
Eggs,5.2,59.6,3.38,1
Eggs,7.9,53.8,4.22,1
Fruits,10.5,75.9,0.82,1
Vegetables,8.0,84.7,0.63,0
Meat,2.6,74.3,1.48,0
Eggs,6.1,50.1,4.37,1
Milk,3.4,80.2,2.47,0
Meat,7.4,70.3,2.8,1
Eggs,5.3,68.7,4.74,1
Vegetables,5.0,90.7,1.26,1
Eggs,9.7,60.8,3.3,1
Eggs,5.7,56.1,0.69,0
Eggs,5.7,53.6,0.11,0
Fruits,8.2,71.7,4.29,1
Fruits,9.0,79.8,4.27,1
Fruits,14.7,88.9,4.77,1
Meat,4.8,75.7,0.51,0
Fruits,13.8,77.3,4.12,1
Meat,1.3,80.4,1.01,0
Meat,2.7,77.5,3.87,1
Eggs,9.8,58.9,4.78,1
Milk,2.8,87.6,2.86,1
Eggs,2.8,52.8,1.85,0
Milk,5.5,80.4,3.94,1
Meat,1.0,92.2,4.55,1
Vegetables,2.7,94.7,4.24,1
Vegetables,10.1,92.4,4.28,1
Meat,5.8,82.7,3.34,1
Fruits,5.1,83.3,1.55,0
Fruits,8.2,76.7,2.76,1
Vegetables,5.9,91.0,0.57,1
Fruits,11.4,79.6,4.14,1
Vegetables,6.0,81.7,4.08,1
Milk,5.4,61.0,3.18,1
Eggs,9.1,54.4,1.64,1
Eggs,3.8,67.8,3.58,1
Fruits,14.1,87.4,3.73,1
Eggs,4.9,55.8,2.69,1
Fruits,12.4,83.8,4.07,1
Milk,9.7,71.9,4.31,1
Eggs,6.6,59.8,2.94,1
Eggs,8.2,65.9,3.3,1
Fruits,4.3,84.2,1.85,0
Meat,2.3,88.3,1.41,1
Vegetables,5.6,94.6,2.65,1
Vegetables,7.3,80.7,1.72,0
Meat,6.4,92.7,0.21,1
Meat,6.4,85.9,0.98,1
Eggs,8.6,62.3,1.03,1
Vegetables,8.1,81.2,4.94,1
Meat,2.1,72.2,0.9,0
Meat,2.6,87.9,1.24,1
Meat,1.9,93.7,4.42,1
Meat,0.5,89.5,1.35,1
Eggs,6.4,57.0,4.17,1
Meat,5.9,92.8,1.64,1
Vegetables,7.7,95.0,0.62,1
Milk,3.7,65.9,4.85,1
Meat,6.6,88.9,0.02,1
Milk,2.2,71.8,0.39,0
Fruits,13.6,89.5,2.45,1
Eggs,4.3,57.4,2.89,1
Fruits,5.9,77.5,0.52,0
Meat,7.1,92.5,4.24,1
Milk,6.1,75.7,3.46,1
Eggs,4.4,55.5,3.27,1
Meat,6.8,77.4,1.86,1
Vegetables,2.2,96.4,1.22,1
Meat,0.6,75.9,1.86,0
Meat,6.1,74.7,2.51,1
Milk,5.6,83.9,2.76,1
Vegetables,11.1,87.4,0.79,1
Meat,4.1,75.1,0.79,0
Milk,2.4,79.9,3.16,1
Milk,6.5,74.3,2.51,1
Meat,3.8,81.8,1.76,0
Eggs,5.4,52.0,1.56,0
Milk,8.9,66.9,4.49,1
Milk,7.4,83.5,1.12,1
Fruits,5.3,72.5,4.21,1
Meat,7.2,77.7,2.24,1
Fruits,11.0,77.8,2.81,1
Meat,3.6,84.6,4.28,1
Vegetables,3.5,92.7,0.27,1
Milk,6.9,89.3,4.15,1
Milk,3.1,74.1,2.07,0
Meat,7.7,90.6,0.26,1
Fruits,12.5,70.2,4.59,1
Eggs,2.4,62.7,3.51,1
Fruits,6.2,84.2,2.21,0
Fruits,7.0,86.5,1.86,1
Meat,2.2,87.5,0.38,1
Vegetables,7.9,89.5,1.47,1
Vegetables,5.2,81.7,2.39,0
Fruits,13.4,74.8,4.76,1
Milk,6.9,81.2,4.85,1
Meat,2.4,85.1,3.73,1
Meat,1.0,78.8,2.93,1
Milk,7.0,77.4,1.04,0
Milk,3.0,65.8,0.69,0
Fruits,6.9,83.8,0.32,0
Fruits,14.6,75.8,3.42,1
Vegetables,11.6,93.1,2.75,1
Fruits,4.7,75.1,2.8,1
Vegetables,8.4,83.1,4.52,1
Fruits,8.0,85.3,2.03,1
Vegetables,11.2,81.6,4.61,1
Fruits,8.5,72.4,4.12,1
Fruits,12.6,88.0,3.05,1
Vegetables,11.0,84.7,1.32,1
Fruits,10.2,75.8,1.66,1
Eggs,5.1,51.8,0.06,0
Vegetables,5.2,92.8,0.92,1
Meat,0.6,94.3,4.41,1
Eggs,3.4,53.2,2.36,0
Fruits,7.6,86.0,1.81,1
Vegetables,2.4,86.5,2.24,1
Meat,6.0,82.2,2.74,1
Vegetables,10.2,90.8,4.63,1
Milk,4.0,77.3,2.78,1
Vegetables,9.3,82.8,3.7,1
Eggs,3.6,62.7,1.72,0
Fruits,6.5,73.1,2.41,0
Vegetables,6.3,96.0,0.44,1
Meat,1.3,71.0,4.32,1
Eggs,7.6,53.4,3.88,1
Eggs,4.1,53.5,4.94,1
Milk,4.4,70.5,0.07,0
Vegetables,10.7,91.3,4.23,1
Meat,0.4,82.9,0.45,0
Fruits,13.8,88.4,3.99,1
Vegetables,4.0,94.3,0.65,1
Meat,6.2,79.2,1.26,1
Meat,0.3,91.2,1.91,1
Eggs,8.3,63.6,1.24,1
Milk,5.5,64.8,1.64,0
Meat,6.9,80.9,1.77,1
Milk,6.0,85.4,0.41,1
Milk,8.5,60.2,3.71,1
Vegetables,4.0,88.5,2.08,1
Fruits,9.3,82.4,2.03,1
Vegetables,8.9,93.6,4.45,1
Meat,6.0,74.9,0.4,0
Fruits,13.7,85.7,3.0,1
Fruits,10.9,76.5,2.61,1
Meat,6.5,91.8,0.27,1
Milk,7.7,76.1,3.4,1
Vegetables,5.8,93.8,1.8,1
Meat,6.2,89.7,3.81,1
Milk,8.8,84.9,2.25,1
Milk,4.9,67.0,0.95,0
Fruits,5.4,87.1,4.19,1
Milk,6.2,84.4,0.49,0
Milk,2.3,88.9,2.2,1
Milk,7.8,87.3,4.34,1
Milk,7.4,87.2,1.87,1
Meat,3.1,74.8,4.24,1
Milk,4.4,76.5,0.76,0
Meat,4.3,92.7,1.46,1
Meat,5.0,78.6,3.25,1
Vegetables,2.4,93.4,2.38,1
Fruits,9.0,84.4,2.2,0
Milk,5.9,80.6,4.19,1
Meat,6.8,88.4,2.84,1
